name,count,latitude,longitude
2021S051210030091,336.0,47.569562,-59.129625
2021S051210030092,644.0,47.883141,-55.84115
2021S051210030093,545.0,47.862419,-55.8483
2021S051210030094,93.0,47.8773,-55.752269
2021S051210030095,293.0,47.910464,-55.747516
2021S051210030096,376.0,47.905124,-55.766442
2021S051210030097,358.0,47.859196,-55.764681
2021S051210030098,595.0,47.876013,-55.712938
2021S051210040077,50.0,48.705249,-58.237007
2021S051210040078,834.0,48.676109,-58.36152
2021S051210040079,378.0,48.620915,-58.640822
2021S051210040080,524.0,48.560302,-58.569245
2021S051210040081,451.0,48.55673,-58.573339
2021S051210040082,371.0,48.554384,-58.569906
2021S051210040083,393.0,48.546174,-58.580683
2021S051210040084,326.0,48.550393,-58.580122
2021S051210040085,357.0,48.551953,-58.581946
2021S051210040086,460.0,48.554933,-58.584223
2021S051210040087,512.0,48.560838,-58.585946
